row,truck_reg,second_reg
20,FV09YCGP,FV09YGGP
21,FT93RWGP,FT93SHGP
22,FV09YJGP,FV09YKGP
23,DW21XCGP,DW21VXGP
24,DX77VFGP,DX77VVGP
25,DX77TYGP,DX77TKGP
26,JB59KZGP,JB59MJGP
27,JB63LBGP,JB63KWGP
28,DZ50BSGP,DZ50BTGP
29,DZ50CGGP,DZ50CDGP
30,LC88CNGP,LC88CBGP
31,LC88CHGP,LC88BWGP
32,LF40VTGP,LF40VWGP
33,LF40VXGP,LF40VYGP
34,FW83SJGP,FW83SGGP
35,DL89RPGP,DL89TGGP
36,FW31BTGP,FW31BMGP
37,FW31BPGP,FW31BWGP
38,JL64PXGP,JL64PDGP
39,JN87NPGP,JN87PGGP
40,JR85LYGP,JR85MJGP
41,JS99KBGP,JS99JYGP
42,KF26RFGP,KF26PPGP
43,KN72LNGP,KN72MFGP
44,KS19FJGP,KS19GYGP
45,KS19GNGP,KS19GJGP
46,HL86MCGP,HL86MKGP
47,LB11SHGP,LB11SLGP
48,LB11STGP,LB11SPGP
49,LB60CYGP,LB60CJGP
50,LB20MCGP,LB20MGGP
51,LF91HBGP,LF91GYGP
52,LR98FNGP,LR98DVGP
53,LV19NFGP,LV19MSGP
54,LV49PTGP,LV49PWGP
55,MF86TZGP,MF86TSGP
56,MG60LCGP,MG60LFGP
